LON,LAT,EDO,CLAVE,ESTACION,may-16
-99.09,19.190278,DF,CTNDF,"San Salvador Cuauhtenco, Cd. de Méx.",7.9
-99.09,19.484167,DF,CYLDF,"Coyol, Cd. de Méx.",43.5
-99.205556,19.304722,DF,DATDF,"Desviación Alta, Cd. de Méx.",3
-99.131389,19.431111,DF,DDFDF,"Gobierno de la Ciudad de México, Cd. de Méx.",65.5
-99.309167,19.313333,DF,DTLDF,"Desierto de los Leones, Cd. de Méx.",25.6
-99.151944,19.300556,DF,EAZDF,"Estadio Azteca, Cd. de Méx.",33.3
-99.203889,19.271389,DF,ECOGUARDAS,"Ecoguardas Ajusco, Cd. de Méx. SMN*",78.6
-99.286389,19.3625,DF,EYQDF,"El Yaqui, Cd. de Méx.",74
-99.352222,19.295,DF,EZCDF,"El Zarco, Méx.",112.9
-99.091667,19.478056,DF,GCNDF,"km 6+250 del Gran Canal, Cd. de Méx.",75.2
-99.2625,19.308056,DF,HYTDF,"Huayatla, Cd. de Méx.",29.3
-99.066667,19.377778,DF,LU4DF,"Lumbrera Cuatro Ríos El Moral, Cd. de Méx.",95.55
-99.3,19.340556,DF,LVNDF,"La Venta, Cd. de Méx.",53.7
-99.283333,19.216667,DF,MAGDF,"Monte Alegre, Cd. de Méx.",73
-99.133889,19.403333,DF,MCRDF,"Marcos Carrillo, Cd. de Méx.",26.9
-99.021944,19.190556,DF,MLPDF,"Milpa Alta, Cd. de Méx.",36.9
-99.233056,19.187778,DF,MZTDF,"Planta Abasolo Mezontepec, Cd. de Méx.",64.2
-99.096389,19.316389,DF,OCSDF,"Organismo de Cuenca Aguas del Valle de México Sur, Cd. de Méx.",57.8
-99.100278,19.379167,DF,PBADF,"Planta de bombeo Aculco, Cd. de Méx.",136.38
-99.057778,19.433333,DF,PBCDF,"Planta de bombeo Churubusco Lago, Cd. de Méx.",152.52
-99.119444,19.486667,DF,PBLDF,"Planta de bombeo Lindavista, Cd. de Méx.",91.1
-99.037778,19.38,DF,PBODF,"Planta de bombeo U.H. Ejército de Oriente, Cd. de Méx.",120.8
-99.170556,19.435556,DF,PBTDF,"Planta de bombeo Tizoc, Cd. de Méx.",69.4
-99.2,19.413056,DF,PCHDF,"Planta Chapultepec, Cd. de Méx.",54.6
-99.097222,19.455833,DF,PGNDF,"Planta Generadora 101, Cd. de Méx.",77.3
-99.076389,19.336944,DF,PLEDF,"Planta de Tratamiento Cerro de La Estrella, Cd. de Méx.",57.8
-99.068333,19.420278,DF,PLMDF,"Planta de bombeo López Mateos, Cd. de Méx.",142.94
-99.126389,19.365278,DF,PMLDF,"Planta de bombeo Municipio Libre, Cd. de Méx.",72.8
-99.090833,19.246389,DF,PNTDF,"Planta Nativitas, Cd. de Méx.",49.3
-99.264722,19.288611,DF,PRMDF,"Planta de Tratamiento Río de La Magdalena, Cd. de Méx.",28.2
-99.154444,19.513056,DF,PRRDF,"Planta de Tratamiento Río Remedios, Cd. de Méx.",91.2
-99.023056,19.299167,DF,PSCDF,"Planta de Tratamiento Santa Catarina, Cd. de Méx.",42
-99.05,19.233333,DF,PSLDF,"Planta San Luis, Cd. de Méx.",26.4
-99.163889,19.468889,DF,PSNDF,"Planta de bombeo Nueva Santa María, Cd. de Méx.",81.5
-99.171111,19.263056,DF,PSPDF,"Pueblo San Pedro Mártir, Cd. de Méx.",77.9
-99.190278,19.509167,DF,PTRDF,"Planta de Tratamiento Rosario, Cd. de Méx.",79.9
-99.126111,19.285833,DF,PVCDF,"Planta de bombeo Villa Coapa, Cd. de Méx.",59.4
-99.143056,19.331944,DF,PXTDF,"Planta de bombeo Xotepingo, Cd. de Méx.",27.8
-99.194167,19.296111,DF,RBTDF,"Rebombeo Bosque de Tlalpan, Cd. de Méx.",40.2
-99.17,19.4,DF,RCMDF,"Radiocomunicación, Cd. de Méx.",38.8
-99,19.166667,DF,SANDF,"Santa Ana, Cd. de Méx.",0
-99.275,19.328611,DF,SBADF,"San Bartolo Ameyalco, Cd. de Méx.",46.4
-99.028889,19.338333,DF,SCMDF,"Rebombeo La Quebradora Santa Cruz Meyehualco, Cd. de Méx.",39.9
-99.122222,19.572222,DF,SGDDF,"Sierra Guadalupe, Cd. de Méx.",76.8
-99.066667,19.466667,DF,SJADF,"San Juan de Aragón, Cd. de Méx.",61.4
-99.009722,19.281389,DF,SPPDF,"San Pedro Tláhuac, Cd. de Méx.",44.7
-99.1425,19.556111,DF,TCMDF,"Tanque Chalmita, Cd. de Méx.",71.1
-99.272222,19.373056,DF,TECDF,"Tanque el Cartero, Cd. de Méx.",89.5
-99.220833,19.337778,DF,TELDF,"Tanque el Lienzo, Cd. de Méx.",50.7
-99.099722,19.385,DF,TEZDF,"Tezontle, Cd. de Méx. SMN*",76.2
-99.211667,19.399167,DF,TNGDF,"Triángulo, Cd. de Méx.",49.3
-99.135833,19.199444,DF,TPJDF,"Topilejo, Cd. de Méx.",118.3
-99.084722,19.440833,DF,TPNDF,"Tanque Peñón, Cd. de Méx.",76.5
-99.2125,19.361944,DF,TRGDF,"Tarango, Cd. de Méx.",43.2
-99.248611,19.316667,DF,TSFDF,"Tanque San Francisco, Cd. de Méx.",8.1
-99.228611,19.436389,DF,TSJDF,"Tanque San Joaquín, Cd. de Méx.",44.5
-99.264444,19.359722,DF,TSLDF,"Santa Fe Santa Lucía, Cd. de Méx.",81.9
-98.970833,19.210278,DF,TTLDF,"Tetelco, Cd. de Méx.",12
-104.066111,25.263333,DGO,AM2DR,"Agustín Melgar, Dgo. SMN*",13
