Lon,Lat,Clave,Edo,Est,Tmin
-100.66,26.84,CDLCL,COAH,Candela Coah.,11.8
-102.06,26.98,CCGCL,COAH,Cuatro CiÈnegas Coah.,10.3
-101.21,28.4,SANTACECILIA,COAH,Santa Cecilia Coah. SMN*,8.0
-100.84,28.34,ADLCL,COAH,Allende Coah.,9.6
-100.57,28.68,PNEGRASob,COAH,Observatorio de Piedras Negras Coah. SMN*,11.5
-100.95,29.33,LASVACASC,COAH,Las Vacas. Ciudad AcuÒa Coah. CILA*,10.7
-101.02,25.38,SALTILLOob,COAH,Observatorio de Saltillo Coah. SMN*,8.5
-103.27,25.77,MADCL,COAH,Madero Coah.,10.1
-101.06,29.45,PLAAMISTAD,COAH,Presa La Amistad Coah. SGT*,10.8
-103.87,19.17,LAECM,COL,La Esperanza Col.,15.5
-103.73,18.76,CDOCM,COL,Cerro de Ortega Col.,18.4
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,19.6
-103.87,18.91,TCMCM,COL,Tecom·n Col.,19.1
-103.8,19.21,CQMCM,COL,Coquimatl·n Col.,18.4
-103.73,19.22,LPSCM,COL,La Posta Col.,17.3
-104.1,18.94,RDRCM,COL,Radar Col.,20.2
-103.81,19.33,PNTCM,COL,PeÒitas Col.,18.1
-103.6,19.32,CUACM,COL,CuauhtÈmoc Col.,16.4
-104.32,19.04,MNZCM,COL,Observatorio de Manzanillo Col.,22.8
-103.88,19.11,DJLCM,COL,Presa derivadora Jala Col.,17.0
-103.61,19.25,BVSCM,COL,Buenavista Col.,15.7
-104.56,19.15,MMZO,COL,Aeropuerto Internacional de Manzanillo-Costalegre Col.*,20.9
-103.58,19.28,MMIA,COL,Aeropuerto Nacional de Colima Col.*,19.0
-110.95,18.73,ISOCORROMAR,COL,Isla Socorro Col. SEMAR*,20.1
-103.73,19.23,COLIMAob,COL,Observatorio de Colima Col. SMN*,17.4
-104.06,19.39,MINATITLAN,COL,Minatitl·n,13.0
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,3.5
