Lon,Lat,Clave,Edo,Est,Tmin,,
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,22.8,,
-100.95,29.33,CDACL,COAH,Ciudad AcuÒa Coah.,19.3,,
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,19.4,,
-103.28,25.07,LFLDR,COAH,La Flor Coah.,15.0,,
-100.58,25.27,SAACL,COAH,San Antonio de las Alazanas Coah.,9.0,,
-100.84,28.34,ADLCL,COAH,Allende Coah.,20.5,,
-102.81,25.33,VSCCL,COAH,Viesca Coah.,17.7,,
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,12.8,,
-101.02,25.38,SALTILLOob,COAH,Observatorio de Saltillo Coah. SMN*,12.9,,
-103.23,25.53,MATCL,COAH,Matamoros Coah.,18.5,,
-100.95,27.52,VCARRANZA,COAH,Venustiano Carranza Coah. SMN*,21.0,,
-101.33,27.92,NUEVAROSITA,COAH,Nueva Rosita Coah. SMN*,18.9,,
-101.71,28.01,MORELOSMUZQUIZ,COAH,Morelos M˙zquiz Coah. SMN*,18.7,,
-101.21,28.4,SANTACECILIA,COAH,Santa Cecilia Coah. SMN*,17.8,,
-100.57,28.68,PNEGRASob,COAH,Observatorio de Piedras Negras Coah. SMN*,20.7,,
-102.52,28.83,OCAMPO,COAH,Ocampo Coah. SMN*,14.9,,
-100.92,25.44,ESLCL,COAH,SecretarÌa de Agricultura Saltillo Coah.,14.3,,
-101.42,26.91,MCVCL,COAH,Observatorio de Monclova Coah.,19.8,,
-102.04,26.99,CUATROCIENEGAS,COAH,Cuatro CiÈnegas Coah. SMN*,18.5,,
-100.53,28.71,PNGCL,COAH,Observatorio de Piedras Negras Coah.,20.5,,
-103.87,19.17,LAECM,COL,La Esperanza Col.,20.8,,
-103.73,18.76,CDOCM,COL,Cerro de Ortega Col.,24.0,,
-103.77,18.81,LDACM,COL,Laguna de Amela Col.,23.7,,
-103.87,18.91,TCMCM,COL,Tecom·n Col.,24.5,,
-103.8,19.21,CQMCM,COL,Coquimatl·n Col.,22.8,,
-103.73,19.22,LPSCM,COL,La Posta Col.,22.0,,
-104.1,18.94,RDRCM,COL,Radar Col.,24.0,,
-103.81,19.33,PNTCM,COL,PeÒitas Col.,21.5,,
-103.6,19.32,CUACM,COL,CuauhtÈmoc Col.,20.8,,
-110.95,18.73,ISOCORROMAR,COL,Isla Socorro Col. SEMAR*,25.8,,
-104.32,19.05,MANZANILLOob,COL,Observatorio de Manzanillo Col. SMN*,25.4,,
-104.3,19.07,MANZANILLOMAR,COL,Manzanillo Col. SEMAR*,25.6,,
-103.73,19.23,COLIMAob,COL,Observatorio de Colima Col. SMN*,21.7,,
-104.32,19.04,MNZCM,COL,Observatorio de Manzanillo Col.,25.9,,
-103.88,19.11,DJLCM,COL,Presa derivadora Jala Col.,21.9,,
-103.61,19.25,BVSCM,COL,Buenavista Col.,20.3,,
-104.56,25.18,RDODR,DGO,Rodeo Dgo.,16.3,,
-102.78,24.63,SJGDR,DGO,San Juan de Guadalupe Dgo.,16.9,,
-104.29,25.56,SPGDR,DGO,San Pedro del Gallo Dgo.,14.8,,
-104.68,23.87,SBYDR,DGO,Santiago Bayacora Dgo.,13.1,,
-104.75,23.96,GVCDR,DGO,Presidente Guadalupe Victoria Dgo.,13.0,,
-103.96,24,FVLDR,DGO,Francisco Villa Dgo.,11.5,,
-104.67,24.03,DRGDR,DGO,Durango Dgo.,13.9,,
-104.12,24.44,CGVDR,DGO,Ciudad Guadalupe Victoria Dgo.,13.3,,
-104.75,24.5,CNTDR,DGO,Canatl·n Dgo.,13.2,,
-104.81,24.54,CBRDR,DGO,Caboraca Dgo.,11.5,,
-106.54,24.7,TDRDR,DGO,El Tule del Real Dgo.,22.4,,
-105.42,25.04,SPPDR,DGO,Santiago Papasquiaro Dgo.,9.8,,
-105.44,25.22,SACDR,DGO,SalomÈ Acosta Dgo.,14.0,,
-104.07,25.26,AM2DR,DGO,AgustÌn Melgar Dgo. SMN*,15.3,,
-103.77,25.27,FZRDR,DGO,Francisco Zarco Dgo.,19.3,,
-105.25,25.5,GESDR,DGO,General Escobedo Dgo.,14.0,,
-103.52,25.53,CLRDR,DGO,Ciudad Lerdo Dgo.,17.9,,
-105.02,25.59,LCRDR,DGO,L·zaro C·rdenas Dgo.,16.1,,
-103.85,25.82,MPMDR,DGO,MapimÌ Dgo.,18.2,,
-105.96,25.93,GNCDR,DGO,Guanacevit Dgo.,4.7,,
-105.37,25.95,SMODR,DGO,Santa MarÌa del Oro Dgo.,9.2,,
-103.44,26.11,THODR,DGO,Tlahualilo Dgo.,17.2,,
-104.93,26.24,VHGDR,DGO,Villa Hidalgo Dgo.,11.2,,
-105.56,26.44,SGBDR,DGO,San Gabriel Dgo.,12.0,,
-105.51,26.45,VOCDR,DGO,Villa Ocampo Dgo.,11.9,,
-104.12,26.52,CEBDR,DGO,Ceballos Dgo.,16.3,,
-105.5,26.44,VILLAOCAMPO,DGO,Villa Ocampo Dgo. SMN*,13.0,,
-104.66,24.2,PAGDR,DGO,PeÒa del ¡guila Dgo.,12.7,,
-104.33,24.54,PDCDR,DGO,P·nuco de Coronado Dgo.,10.7,,
-104.28,25.08,SLCDR,DGO,San Luis del Cordero Dgo.,16.1,,
-103.98,23.74,VGCDR,DGO,Vicente Guerrero Dgo.,12.2,,
-105.35,23.69,SLTDR,DGO,El Salto Dgo.,6.1,,
-104.92,24.8,GUADR,DGO,GuatimapÈ Dgo.,9.6,,
-104.67,23.87,SB2DR,DGO,Santiago Bayacora hidromÈtrica Dgo.,13.1,,
-103.96,24,FV2DR,DGO,Francisco Villa hidromÈtrica Dgo.,11.5,,
-104.66,24.24,PA2DR,DGO,PeÒa del ¡guila hidromÈtrica Dgo.,12.7,,
-104.8,24.52,CB2DR,DGO,Caboraca hidromÈtrica Dgo.,11.5,,
-102.78,24.56,TGRDR,DGO,El Tigre Dgo.,14.9,,
-105.57,26.08,SRDDR,DGO,Sardinas Dgo.,6.5,,
-104.25,23.39,MICHILIA,DGO,La Michilia Dgo. SMN*,9.3,,
-104.7,24,CAGDR,DGO,Campo AgrÌcola Dgo.,13.2,,
-105.47,24.19,LVEDR,DGO,Las Vegas Dgo. SMN*,9.9,,
-102.77,24.63,SANJUANGPE,DGO,San Juan Guadalupe Dgo. SMN*,14.3,,
-104.03,24.79,PBLDR,DGO,PeÒÛn Blanco Dgo.,9.0,,
-106.37,26.13,ROSDR,DGO,La Rosilla Dgo.,3.2,,
-105.33,26.43,SANANTONIO,DGO,San Antonio Dgo. SGT*,12.7,,
